runtime,controller,baseline,seed,controller_reward,baseline_reward,reward_delta
thread,threshold,static,111,0.00558766004718169,0.222233042471809,-0.2166453824246273
thread,threshold,static,222,0.0021067451270517803,0.22200038971558794,-0.21989364458853616
thread,threshold,static,333,0.018021294630673555,0.22208856375818403,-0.20406726912751047
thread,threshold,static,444,0.003015711983451712,0.22177534934796742,-0.2187596373645157
thread,threshold,static,555,0.001432133917918335,0.22188566790254405,-0.22045353398462572
thread,best_fixed,static,111,0.5259274865855165,0.222233042471809,0.3036944441137075
thread,best_fixed,static,222,0.5292374157402071,0.22200038971558794,0.30723702602461916
thread,best_fixed,static,333,0.5252661636323357,0.22208856375818403,0.30317759987415166
thread,best_fixed,static,444,0.5274309739859774,0.22177534934796742,0.30565562463801
thread,best_fixed,static,555,0.5270494742477971,0.22188566790254405,0.3051638063452531
thread,qlearning,static,111,0.13776956801780005,0.222233042471809,-0.08446347445400895
thread,qlearning,static,222,0.14385967718033038,0.22200038971558794,-0.07814071253525756
thread,qlearning,static,333,0.12731586461007063,0.22208856375818403,-0.0947726991481134
thread,qlearning,static,444,0.2562214553897843,0.22177534934796742,0.03444610604181689
thread,qlearning,static,555,0.21879833859031303,0.22188566790254405,-0.0030873293122310186
thread,dqn,static,111,0.3794418977766293,0.222233042471809,0.1572088553048203
thread,dqn,static,222,0.3951881754061398,0.22200038971558794,0.17318778569055188
thread,dqn,static,333,0.3598942994015947,0.22208856375818403,0.13780573564341064
thread,dqn,static,444,0.44771184069139663,0.22177534934796742,0.22593649134342922
thread,dqn,static,555,0.4092985380996684,0.22188566790254405,0.18741287019712433
thread,ppo,static,111,0.42544859773910676,0.222233042471809,0.20321555526729776
thread,ppo,static,222,0.3118939321887371,0.22200038971558794,0.08989354247314918
thread,ppo,static,333,0.40574731980167505,0.22208856375818403,0.18365875604349102
thread,ppo,static,444,0.31704755271885987,0.22177534934796742,0.09527220337089246
thread,ppo,static,555,0.3443333944601026,0.22188566790254405,0.12244772655755853
thread,static,threshold,111,0.222233042471809,0.00558766004718169,0.2166453824246273
thread,static,threshold,222,0.22200038971558794,0.0021067451270517803,0.21989364458853616
thread,static,threshold,333,0.22208856375818403,0.018021294630673555,0.20406726912751047
thread,static,threshold,444,0.22177534934796742,0.003015711983451712,0.2187596373645157
thread,static,threshold,555,0.22188566790254405,0.001432133917918335,0.22045353398462572
thread,best_fixed,threshold,111,0.5259274865855165,0.00558766004718169,0.5203398265383348
thread,best_fixed,threshold,222,0.5292374157402071,0.0021067451270517803,0.5271306706131553
thread,best_fixed,threshold,333,0.5252661636323357,0.018021294630673555,0.5072448690016621
thread,best_fixed,threshold,444,0.5274309739859774,0.003015711983451712,0.5244152620025256
thread,best_fixed,threshold,555,0.5270494742477971,0.001432133917918335,0.5256173403298788
thread,qlearning,threshold,111,0.13776956801780005,0.00558766004718169,0.13218190797061835
thread,qlearning,threshold,222,0.14385967718033038,0.0021067451270517803,0.1417529320532786
thread,qlearning,threshold,333,0.12731586461007063,0.018021294630673555,0.10929456997939707
thread,qlearning,threshold,444,0.2562214553897843,0.003015711983451712,0.2532057434063326
thread,qlearning,threshold,555,0.21879833859031303,0.001432133917918335,0.2173662046723947
thread,dqn,threshold,111,0.3794418977766293,0.00558766004718169,0.3738542377294476
thread,dqn,threshold,222,0.3951881754061398,0.0021067451270517803,0.39308143027908804
thread,dqn,threshold,333,0.3598942994015947,0.018021294630673555,0.34187300477092114
thread,dqn,threshold,444,0.44771184069139663,0.003015711983451712,0.44469612870794495
thread,dqn,threshold,555,0.4092985380996684,0.001432133917918335,0.40786640418175
thread,ppo,threshold,111,0.42544859773910676,0.00558766004718169,0.41986093769192506
thread,ppo,threshold,222,0.3118939321887371,0.0021067451270517803,0.30978718706168534
thread,ppo,threshold,333,0.40574731980167505,0.018021294630673555,0.3877260251710015
thread,ppo,threshold,444,0.31704755271885987,0.003015711983451712,0.3140318407354082
thread,ppo,threshold,555,0.3443333944601026,0.001432133917918335,0.3429012605421842
thread,static,best_fixed,111,0.222233042471809,0.5259274865855165,-0.3036944441137075
thread,static,best_fixed,222,0.22200038971558794,0.5292374157402071,-0.30723702602461916
thread,static,best_fixed,333,0.22208856375818403,0.5252661636323357,-0.30317759987415166
thread,static,best_fixed,444,0.22177534934796742,0.5274309739859774,-0.30565562463801
thread,static,best_fixed,555,0.22188566790254405,0.5270494742477971,-0.3051638063452531
thread,threshold,best_fixed,111,0.00558766004718169,0.5259274865855165,-0.5203398265383348
thread,threshold,best_fixed,222,0.0021067451270517803,0.5292374157402071,-0.5271306706131553
thread,threshold,best_fixed,333,0.018021294630673555,0.5252661636323357,-0.5072448690016621
thread,threshold,best_fixed,444,0.003015711983451712,0.5274309739859774,-0.5244152620025256
thread,threshold,best_fixed,555,0.001432133917918335,0.5270494742477971,-0.5256173403298788
thread,qlearning,best_fixed,111,0.13776956801780005,0.5259274865855165,-0.3881579185677164
thread,qlearning,best_fixed,222,0.14385967718033038,0.5292374157402071,-0.3853777385598767
thread,qlearning,best_fixed,333,0.12731586461007063,0.5252661636323357,-0.3979502990222651
thread,qlearning,best_fixed,444,0.2562214553897843,0.5274309739859774,-0.2712095185961931
thread,qlearning,best_fixed,555,0.21879833859031303,0.5270494742477971,-0.3082511356574841
thread,dqn,best_fixed,111,0.3794418977766293,0.5259274865855165,-0.14648558880888718
thread,dqn,best_fixed,222,0.3951881754061398,0.5292374157402071,-0.1340492403340673
thread,dqn,best_fixed,333,0.3598942994015947,0.5252661636323357,-0.16537186423074102
thread,dqn,best_fixed,444,0.44771184069139663,0.5274309739859774,-0.07971913329458075
thread,dqn,best_fixed,555,0.4092985380996684,0.5270494742477971,-0.11775093614812876
thread,ppo,best_fixed,111,0.42544859773910676,0.5259274865855165,-0.10047888884640971
thread,ppo,best_fixed,222,0.3118939321887371,0.5292374157402071,-0.21734348355146998
thread,ppo,best_fixed,333,0.40574731980167505,0.5252661636323357,-0.11951884383066064
thread,ppo,best_fixed,444,0.31704755271885987,0.5274309739859774,-0.2103834212671175
thread,ppo,best_fixed,555,0.3443333944601026,0.5270494742477971,-0.18271607978769455
process,threshold,static,111,-0.06296272746446985,0.1840277692784987,-0.24699049674296855
process,threshold,static,222,-0.01429437879079692,0.18552608223948075,-0.19982046103027767
process,threshold,static,333,-0.07110398533906095,0.1760909268229365,-0.24719491216199746
process,threshold,static,444,-0.05586874703035029,0.20710505410412888,-0.26297380113447916
process,threshold,static,555,-0.07291049610788405,0.20288015948835847,-0.2757906555962425
process,best_fixed,static,111,0.5211806842504441,0.1840277692784987,0.33715291497194533
process,best_fixed,static,222,0.5192523569916367,0.18552608223948075,0.333726274752156
process,best_fixed,static,333,0.506311415823953,0.1760909268229365,0.3302204890010165
process,best_fixed,static,444,0.511804156129527,0.20710505410412888,0.3046991020253981
process,best_fixed,static,555,0.5021491011958078,0.20288015948835847,0.29926894170744933
process,qlearning,static,111,0.006726049374974114,0.1840277692784987,-0.17730171990352458
process,qlearning,static,222,0.1859799651912309,0.18552608223948075,0.0004538829517501397
process,qlearning,static,333,0.10809511750450743,0.1760909268229365,-0.06799580931842908
process,qlearning,static,444,0.25175091814175216,0.20710505410412888,0.04464586403762327
process,qlearning,static,555,0.18632233477059781,0.20288015948835847,-0.016557824717760655
process,dqn,static,111,0.3969154951238895,0.1840277692784987,0.2128877258453908
process,dqn,static,222,0.35557166782619903,0.18552608223948075,0.17004558558671828
process,dqn,static,333,0.3565854957411536,0.1760909268229365,0.1804945689182171
process,dqn,static,444,0.34457458237041294,0.20710505410412888,0.13746952826628406
process,dqn,static,555,0.39592368909704373,0.20288015948835847,0.19304352960868526
process,ppo,static,111,0.4549315203540668,0.1840277692784987,0.2709037510755681
