runtime,controller,baseline,seed_unit_count,mean_paired_delta,ci95_low,ci95_high,wins,ties,losses
thread,threshold,static,5,-0.21596389349796308,-0.22441747579023924,-0.20751031120568691,0,0,5
thread,best_fixed,static,5,0.3049857001991483,0.30297535860531344,0.3069960417929831,5,0,0
thread,qlearning,static,5,-0.04520362188155881,-0.11653487527420274,0.026127631511085117,1,0,4
thread,dqn,static,5,0.17631034763586725,0.13492714371452472,0.2176935515572098,5,0,0
thread,ppo,static,5,0.13889755674247778,0.07463160320796287,0.2031635102769927,5,0,0
thread,static,threshold,5,0.21596389349796308,0.20751031120568691,0.22441747579023924,5,0,0
thread,best_fixed,threshold,5,0.5209495936971114,0.5109352113309884,0.5309639760632343,5,0,0
thread,qlearning,threshold,5,0.17076027161640428,0.09452898522329438,0.24699155800951417,5,0,0
thread,dqn,threshold,5,0.39227424113383036,0.3447029408851738,0.43984554138248694,5,0,0
thread,ppo,threshold,5,0.35486145024044086,0.2954857386512162,0.4142371618296655,5,0,0
thread,static,best_fixed,5,-0.3049857001991483,-0.3069960417929831,-0.30297535860531344,0,0,5
thread,threshold,best_fixed,5,-0.5209495936971114,-0.5309639760632343,-0.5109352113309884,0,0,5
thread,qlearning,best_fixed,5,-0.350189322080707,-0.420859451630592,-0.279519192530822,0,0,5
thread,dqn,best_fixed,5,-0.12867535256328103,-0.16895185629317866,-0.08839884883338339,0,0,5
thread,ppo,best_fixed,5,-0.16608814345667047,-0.23219711391588344,-0.09997917299745752,0,0,5
process,threshold,static,5,-0.24655406533319307,-0.2822668391714809,-0.2108412914949053,0,0,5
process,best_fixed,static,5,0.3210135444915931,0.2991002907733809,0.34292679820980526,5,0,0
process,qlearning,static,5,-0.04335112139006818,-0.14894796887991046,0.06224572609977409,2,0,3
process,dqn,static,5,0.17878818764505908,0.14392986837246283,0.21364650691765533,5,0,0
process,ppo,static,5,0.1511569366971396,0.03202110427818451,0.2702927691160947,5,0,0
process,static,threshold,5,0.24655406533319307,0.2108412914949053,0.2822668391714809,5,0,0
process,best_fixed,threshold,5,0.5675676098247862,0.5428486940803329,0.5922865255692394,5,0,0
process,qlearning,threshold,5,0.20320294394312488,0.09136183186091613,0.31504405602533364,5,0,0
process,dqn,threshold,5,0.42534225297825223,0.37419475067885016,0.4764897552776543,5,0,0
process,ppo,threshold,5,0.39771100203033266,0.29286063331811785,0.5025613707425475,5,0,0
process,static,best_fixed,5,-0.3210135444915931,-0.34292679820980526,-0.2991002907733809,0,0,5
process,threshold,best_fixed,5,-0.5675676098247862,-0.5922865255692394,-0.5428486940803329,0,0,5
process,qlearning,best_fixed,5,-0.3643646658816612,-0.4851902217053903,-0.2435391100579322,0,0,5
process,dqn,best_fixed,5,-0.14222535684653398,-0.17484335395731898,-0.10960735973574898,0,0,5
process,ppo,best_fixed,5,-0.16985660779445347,-0.2706843048072295,-0.06902891078167747,0,0,5
