runtime,profile,controller,seed,training_seed,session_id,steps,reward_total,reward_per_step,spatial_fidelity_mean,hotspot_recall_mean,service_duty_mean_percent,violation_events,cpu_events,memory_events,coverage_events,sample_events,freshness_events,cpu_p95,cpu_max,memory_p95,memory_max,bandwidth_p95_mbps
thread,lax-background,static,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s111,64,17.231116364474186,0.26923619319490916,0.8865142171502779,0.8384490736686923,1.7426366472440487,64,0,0,64,0,0,50.2,50.5,30.0,32.6,0.1479339062885185
thread,lax-background,static,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s222,64,17.18962332261598,0.2685878644158747,0.8865142171502779,0.8384490736686923,1.7535421022732496,64,0,0,64,0,0,50.0,51.5,30.0,30.0,0.14921105576259963
thread,lax-background,static,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s333,64,17.203982820270575,0.26881223156672773,0.8865142171502779,0.8384490736686923,1.7320984072856234,64,0,0,64,0,0,50.0,51.0,30.0,30.0,0.14796536960553458
thread,lax-background,static,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s444,64,17.18899490501305,0.2685780453908289,0.8865142171502779,0.8384490736686923,1.7547384281147227,64,0,0,64,0,0,50.0,50.5,30.0,30.0,0.1480260777278889
thread,lax-background,static,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_static_s555,64,17.1933361294114,0.2686458770220531,0.8865142171502779,0.8384490736686923,1.7449658299669808,64,0,0,64,0,0,50.089999999999996,56.2,30.0,30.0,0.14804062015599614
thread,lax-background,threshold,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_threshold_s111,64,-2.4074410284319328,-0.03761626606924895,0.8853976087786756,0.843251882715315,0.8964090376339678,6,0,0,6,0,0,6.544999999999999,50.0,32.6,32.6,0.13650645521276442
thread,lax-background,threshold,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_threshold_s222,64,-2.406812391659542,-0.037606443619680345,0.8873559938542936,0.847403410805263,0.8807821906060769,6,0,0,6,0,0,6.9699999999999935,50.6,30.0,30.0,0.13874995935217138
thread,lax-background,threshold,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_threshold_s333,64,-2.401843313834921,-0.03752880177867064,0.8853976087786756,0.843251882715315,0.8770540956103032,6,0,0,6,0,0,6.949999999999989,50.3,30.0,30.0,0.1389195811764782
thread,lax-background,threshold,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_threshold_s444,64,-2.406443846257266,-0.03760068509776978,0.8873559938542936,0.847403410805263,0.8787886996927995,6,0,0,6,0,0,7.069999999999993,50.3,30.0,30.0,0.1384898927977728
thread,lax-background,threshold,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_threshold_s555,64,-2.4075910749811587,-0.037618610546580604,0.8873559938542936,0.847403410805263,0.9048088716749372,6,0,0,6,0,0,6.6,49.7,30.0,30.0,0.13669732237673363
thread,lax-background,best_fixed,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s111,64,40.7131490700015,0.6361429542187734,0.9013970049836753,0.8652082130157667,2.652305467629138,64,0,0,64,0,0,50.2,50.7,30.0,30.0,0.14812441684801267
thread,lax-background,best_fixed,222,22,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s222,64,40.74818396817736,0.6366903745027712,0.9013970049836753,0.8641638951156867,2.6652644256645623,64,0,0,64,0,0,50.2,50.5,30.0,30.0,0.14789656442249524
thread,lax-background,best_fixed,333,33,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s333,64,40.735378875649275,0.6364902949320199,0.9013970049836753,0.8641638951156867,2.670503072637729,64,0,0,64,0,0,50.0,50.7,30.0,30.0,0.14781591554623882
thread,lax-background,best_fixed,444,44,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s444,64,40.74523147100835,0.6366442417345055,0.9013970049836753,0.8641638951156867,2.661315057643507,64,0,0,64,0,0,50.089999999999996,50.8,30.0,30.0,0.14812158205444528
thread,lax-background,best_fixed,555,55,argos_mdpv5_thread_generalization_evaluate_lax-background_best_fixed_s555,64,40.70176646895578,0.6359651010774341,0.9013970049836753,0.8652082130157667,2.640303217755002,64,0,0,64,0,0,50.0,50.7,30.0,30.0,0.14792379814641637
thread,lax-background,qlearning,111,11,argos_mdpv5_thread_generalization_evaluate_lax-background_qlearning_s111,64,12.597037620185533,0.19682871281539896,0.9282865383392791,0.9257042148273671,1.517975342085153,14,0,0,14,0,0,50.2,51.0,30.0,30.0,0.1398794522494289
