run_id,scenario,variant,live_seed,minute,active_requests,queued_requests
concurrency_dqn_train11_live1001,concurrency,dqn,1001,0.0,1.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,0.5,1.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,1.0,1.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,1.5,2.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,2.0,3.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,2.5,3.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,3.0,4.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,3.5,4.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,4.0,5.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,4.5,6.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,5.0,6.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,5.5,7.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,6.0,7.0,0.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,6.5,7.0,1.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,7.0,7.0,1.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,7.5,8.0,1.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,8.0,8.0,1.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,8.5,8.0,2.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,9.0,8.0,3.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,9.5,9.0,2.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,10.0,9.0,3.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,10.5,9.0,3.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,11.0,9.0,4.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,11.5,9.0,5.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,12.0,9.0,5.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,12.5,9.0,6.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,13.0,9.0,6.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,13.5,9.0,7.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,14.0,9.0,7.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,14.5,9.0,8.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,15.0,9.0,8.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,15.5,9.0,9.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,16.0,9.0,9.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,16.5,9.0,10.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,17.0,9.0,11.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,17.5,9.0,11.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,18.0,9.0,12.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,18.5,9.0,12.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,19.0,9.0,13.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,19.5,9.0,14.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,20.0,9.0,14.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,20.5,9.0,15.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,21.0,9.0,15.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,21.5,9.0,16.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,22.0,9.0,16.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,22.5,9.0,17.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,23.0,9.0,17.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,23.5,9.0,18.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,24.0,9.0,19.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,24.5,9.0,19.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,25.0,9.0,20.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,25.5,9.0,21.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,26.0,9.0,21.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,26.5,9.0,22.0
concurrency_dqn_train11_live1001,concurrency,dqn,1001,27.0,9.0,22.0
