scenario,variant,live_seed,reward_per_step_learned,evaluated_requests_learned,violated_epoch_ratio_learned,unique_violation_ratio_learned,spatial_fidelity_mean_learned,hotspot_recall_mean_learned,reward_per_step_static,evaluated_requests_static,violated_epoch_ratio_static,unique_violation_ratio_static,spatial_fidelity_mean_static,hotspot_recall_mean_static,reward_per_step_delta,evaluated_requests_delta,violated_epoch_ratio_delta,unique_violation_ratio_delta,spatial_fidelity_mean_delta,hotspot_recall_mean_delta
concurrency,dqn,1001,-0.0154101224984315,15,0.3123006026231832,0.4,0.8710994471909331,0.8433623714747889,-0.0335703542403546,14,0.382101167315175,0.2142857142857142,0.8625482732722776,0.8360315163671604,0.0181602317419231,1,-0.0698005646919918,0.18571428571428583,0.008551173918655564,0.007330855107628431
concurrency,dqn,1002,0.2632634515487632,14,0.5247600767754319,0.3571428571428571,0.8991371170573702,0.8556484698900231,-0.0401683654395615,14,0.382725527831094,0.2857142857142857,0.8623911183780867,0.8360595008871842,0.30343181698832467,0,0.14203454894433792,0.0714285714285714,0.03674599867928352,0.019588969002838907
concurrency,dqn,1003,0.1192872003765158,15,0.3679943602396898,0.2666666666666666,0.8961663046539892,0.839774604291919,-0.0417290032948668,14,0.3805104408352668,0.2142857142857142,0.8624006313059227,0.8360244563260144,0.16101620367138259,1,-0.012516080595577017,0.05238095238095242,0.03376567334806646,0.00375014796590456
concurrency,dqn,1004,-0.0687082194124932,17,0.2750849027477616,0.2941176470588235,0.851003067734714,0.8636926103702489,-0.0272449902666394,14,0.3813229571984435,0.2142857142857142,0.862410088504628,0.8359113672697006,-0.04146322914585379,3,-0.1062380544506819,0.0798319327731093,-0.011407020769913956,0.027781243100548303
concurrency,dqn,1005,0.1272690910033664,14,0.5241809672386896,0.4285714285714285,0.8859959479967614,0.8304582895380448,-0.0277528247075428,14,0.3824561403508772,0.2857142857142857,0.8623909244560688,0.8359252986853327,0.1550219157109092,0,0.14172482688781235,0.1428571428571428,0.023605023540692605,-0.005467009147287927
realistic,dqn,1001,0.5397474762901184,10,0.8011409942950285,0.8,0.9013217112922238,0.8500139840570607,0.2360204895114353,10,0.3863080684596577,0.4,0.8685606061270904,0.8360193654519509,0.30372698677868315,0,0.4148329258353708,0.4,0.03276110516513342,0.013994618605109865
realistic,dqn,1002,0.575662674627937,10,0.7745901639344263,0.8,0.9131789979884531,0.86119890235734,0.2374421345568025,10,0.3792250618301731,0.4,0.872347029909698,0.8382562948206089,0.33822054007113445,0,0.39536510210425313,0.4,0.04083196807875511,0.022942607536731052
realistic,dqn,1003,0.4769798288606848,12,0.5487179487179488,0.5833333333333334,0.9118854910081212,0.851782643137826,0.2408055262428198,12,0.3838827838827839,0.4166666666666667,0.8721763919921223,0.8377400762305435,0.23617430261786498,0,0.16483516483516486,0.16666666666666669,0.03970909901599895,0.014042566907282561
realistic,dqn,1004,0.4894982004766859,9,0.7086684539767649,0.7777777777777778,0.8975300840322308,0.86239525575344,0.2336174461157801,10,0.3883928571428571,0.4,0.8680139164669375,0.8345942575572255,0.25588075436090585,-1,0.3202755968339078,0.37777777777777777,0.029516167565293294,0.02780099819621451
realistic,dqn,1005,0.4033146218596488,9,0.7218604651162791,0.7777777777777778,0.8993570642440634,0.8467251704111602,0.2332789879813278,9,0.4111627906976744,0.3333333333333333,0.8694746207909165,0.835259795546442,0.170035633878321,0,0.3106976744186047,0.4444444444444445,0.029882443453146834,0.011465374864718214
concurrency,ppo,1001,0.1107270473754076,14,0.7074444928167175,0.4285714285714285,0.8981680747853452,0.848515114913514,-0.0335703542403546,14,0.382101167315175,0.2142857142857142,0.8625482732722776,0.8360315163671604,0.1442974016157622,0,0.3253433255015425,0.2142857142857143,0.03561980151306765,0.012483598546353503
concurrency,ppo,1002,-0.0116196893663315,16,0.3401031592520954,0.3125,0.8856488163964608,0.844431905714874,-0.0401683654395615,14,0.382725527831094,0.2857142857142857,0.8623911183780867,0.8360595008871842,0.02854867607323,2,-0.04262236857899859,0.0267857142857143,0.023257698018374073,0.008372404827689861
concurrency,ppo,1003,0.097956391348115,13,0.71875,0.3846153846153846,0.8912064799025371,0.8258469946569605,-0.0417290032948668,14,0.3805104408352668,0.2142857142857142,0.8624006313059227,0.8360244563260144,0.1396853946429818,-1,0.3382395591647332,0.1703296703296704,0.028805848596614392,-0.010177461669053867
concurrency,ppo,1004,0.0733067895731435,14,0.5085603112840467,0.3571428571428571,0.8863917108772503,0.8309858578730301,-0.0272449902666394,14,0.3813229571984435,0.2142857142857142,0.862410088504628,0.8359113672697006,0.1005517798397829,0,0.12723735408560316,0.1428571428571429,0.023981622372622358,-0.004925509396670469
concurrency,ppo,1005,0.077072194788033,16,0.2576505429417571,0.25,0.8763582451188708,0.8521858448218705,-0.0277528247075428,14,0.3824561403508772,0.2857142857142857,0.8623909244560688,0.8359252986853327,0.1048250194955758,2,-0.12480559740912012,-0.0357142857142857,0.01396732066280204,0.016260546136537823
realistic,ppo,1001,0.4566439957383639,10,0.6259168704156479,0.6,0.903480104183203,0.8569935490536259,0.2360204895114353,10,0.3863080684596577,0.4,0.8685606061270904,0.8360193654519509,0.22062350622692858,0,0.2396088019559902,0.19999999999999996,0.03491949805611261,0.020974183601675023
realistic,ppo,1002,0.3803576416874447,10,0.5565573770491803,0.7,0.9082418514410886,0.8607832252867379,0.2374421345568025,10,0.3792250618301731,0.4,0.872347029909698,0.8382562948206089,0.1429155071306422,0,0.17733231521900716,0.29999999999999993,0.035894821531390564,0.02252693046612897
realistic,ppo,1003,0.4443870633199012,12,0.7950219619326501,0.8333333333333334,0.8972656747041928,0.8318988531371684,0.2408055262428198,12,0.3838827838827839,0.4166666666666667,0.8721763919921223,0.8377400762305435,0.20358153707708138,0,0.41113917804986616,0.4166666666666667,0.02508928271207056,-0.005841223093375092
realistic,ppo,1004,0.3803155840040175,9,0.5608228980322003,0.5555555555555556,0.8895647951744101,0.826543091965897,0.2336174461157801,10,0.3883928571428571,0.4,0.8680139164669375,0.8345942575572255,0.1466981378882374,-1,0.17243004088934322,0.15555555555555556,0.02155087870747263,-0.008051165591328457
realistic,ppo,1005,0.3856298121877869,9,0.4888268156424581,0.5555555555555556,0.8912327947497835,0.8616482951958567,0.2332789879813278,9,0.4111627906976744,0.3333333333333333,0.8694746207909165,0.835259795546442,0.15235082420645912,0,0.0776640249447837,0.22222222222222227,0.021758173958866922,0.0263884996494147
