run_id,scenario,variant,training_seed,live_seed,submitted,initially_accepted,initially_queued,evaluated_requests,tail_censored_requests,decision_steps,reward_total,reward_per_step,mean_request_reward_per_step,slo_epochs,violated_epochs,violated_epoch_ratio,unique_violating_requests,unique_violation_ratio,violation_events,coverage_events,sample_events,freshness_events,cpu_events,memory_events,spatial_fidelity_mean,hotspot_recall_mean,sample_observation_ratio,freshness_observation_ratio,frozen_policy_evaluated_requests,error_records
concurrency_static_train11_live1001,concurrency,static,11,1001,35,8,27,14,0,2570,-86.2758103977113,-0.0335703542403546,-0.059977271957145,2570,982,0.382101167315175,3,0.2142857142857142,982,982,0,0,0,0,0.8625482732722776,0.8360315163671604,0.9945525291828794,0.9945525291828794,0,0
concurrency_ppo_train11_live1001,concurrency,ppo,11,1001,35,7,28,14,0,2297,254.34002782131083,0.1107270473754076,-0.041749008885132,2297,1625,0.7074444928167175,6,0.4285714285714285,1626,1622,0,4,0,0,0.8981680747853452,0.848515114913514,0.9939050936003484,0.9939050936003484,13,0
concurrency_ppo_train22_live1002,concurrency,ppo,22,1002,36,9,27,16,0,3102,-36.0442764143606,-0.0116196893663315,-0.0905970001506819,3102,1055,0.3401031592520954,5,0.3125,1056,1052,0,4,0,0,0.8856488163964608,0.844431905714874,0.9948420373952288,0.9948420373952288,15,0
concurrency_static_train22_live1002,concurrency,static,22,1002,36,8,28,14,0,2605,-104.63859197005728,-0.0401683654395615,-0.0705752873291717,2605,997,0.382725527831094,4,0.2857142857142857,997,997,0,0,0,0,0.8623911183780867,0.8360595008871842,0.9946257197696736,0.9946257197696736,0,0
concurrency_static_train33_live1003,concurrency,static,33,1003,37,8,29,14,0,2586,-107.9112025205258,-0.0417290032948668,-0.0677675758831284,2586,984,0.3805104408352668,3,0.2142857142857142,984,984,0,0,0,0,0.8624006313059227,0.8360244563260144,0.994586233565352,0.994586233565352,0,0
concurrency_ppo_train33_live1003,concurrency,ppo,33,1003,37,7,30,13,0,2304,225.6915256660578,0.097956391348115,-0.0016696593431178,2304,1656,0.71875,5,0.3846153846153846,1656,1656,0,0,0,0,0.8912064799025371,0.8258469946569605,0.9943576388888888,0.9943576388888888,13,0
concurrency_ppo_train44_live1004,concurrency,ppo,44,1004,36,8,28,14,0,2570,188.39844920297904,0.0733067895731435,-0.0337031220603964,2570,1307,0.5085603112840467,5,0.3571428571428571,1307,1304,0,3,0,0,0.8863917108772503,0.8309858578730301,0.9945525291828794,0.9945525291828794,14,0
concurrency_static_train44_live1004,concurrency,static,44,1004,36,8,28,14,0,2570,-70.01962498526342,-0.0272449902666394,-0.0536224182175731,2570,980,0.3813229571984435,3,0.2142857142857142,980,980,0,0,0,0,0.862410088504628,0.8359113672697006,0.9945525291828794,0.9945525291828794,0,0
concurrency_static_train55_live1005,concurrency,static,55,1005,36,8,28,14,0,2565,-71.18599537484737,-0.0277528247075428,-0.057153990207086,2565,981,0.3824561403508772,4,0.2857142857142857,981,981,0,0,0,0,0.8623909244560688,0.8359252986853327,0.994541910331384,0.994541910331384,0,0
concurrency_ppo_train55_live1005,concurrency,ppo,55,1005,36,8,28,16,0,3039,234.22239996083343,0.077072194788033,0.0015420688393692,3039,783,0.2576505429417571,4,0.25,783,782,0,1,0,0,0.8763582451188708,0.8521858448218705,0.9947351102336296,0.9947351102336296,15,0
realistic_static_train11_live1001,realistic,static,11,1001,10,10,0,10,0,1227,289.59714063053104,0.2360204895114353,0.2322930551270263,1227,474,0.3863080684596577,4,0.4,474,474,0,0,0,0,0.8685606061270904,0.8360193654519509,0.9918500407497962,0.9918500407497962,0,0
