run_id,scenario,variant,live_seed,profile,metric,bound,bound_source,events
concurrency_dqn_train11_live1001,concurrency,dqn,1001,cost-sensitive,coverage,maximum,recorded,51
concurrency_dqn_train11_live1001,concurrency,dqn,1001,lax-background,coverage,maximum,recorded,171
concurrency_dqn_train11_live1001,concurrency,dqn,1001,lax-background,freshness_age_seconds,maximum,recorded,1
concurrency_dqn_train11_live1001,concurrency,dqn,1001,short-burst,coverage,maximum,recorded,315
concurrency_dqn_train11_live1001,concurrency,dqn,1001,standard-operations,coverage,maximum,recorded,343
concurrency_dqn_train22_live1002,concurrency,dqn,1002,cost-sensitive,coverage,maximum,recorded,309
concurrency_dqn_train22_live1002,concurrency,dqn,1002,lax-background,coverage,maximum,recorded,673
concurrency_dqn_train22_live1002,concurrency,dqn,1002,short-burst,coverage,maximum,recorded,323
concurrency_dqn_train22_live1002,concurrency,dqn,1002,standard-operations,coverage,maximum,recorded,62
concurrency_dqn_train33_live1003,concurrency,dqn,1003,cost-sensitive,coverage,maximum,recorded,59
concurrency_dqn_train33_live1003,concurrency,dqn,1003,cost-sensitive,freshness_age_seconds,maximum,recorded,1
concurrency_dqn_train33_live1003,concurrency,dqn,1003,lax-background,coverage,maximum,recorded,667
concurrency_dqn_train33_live1003,concurrency,dqn,1003,short-burst,coverage,maximum,recorded,317
concurrency_dqn_train44_live1004,concurrency,dqn,1004,cost-sensitive,coverage,maximum,recorded,26
concurrency_dqn_train44_live1004,concurrency,dqn,1004,lax-background,coverage,maximum,recorded,202
concurrency_dqn_train44_live1004,concurrency,dqn,1004,short-burst,coverage,maximum,recorded,315
concurrency_dqn_train44_live1004,concurrency,dqn,1004,standard-operations,coverage,maximum,recorded,348
concurrency_dqn_train55_live1005,concurrency,dqn,1005,cost-sensitive,coverage,maximum,recorded,21
concurrency_dqn_train55_live1005,concurrency,dqn,1005,lax-background,coverage,maximum,recorded,665
concurrency_dqn_train55_live1005,concurrency,dqn,1005,short-burst,coverage,maximum,recorded,316
concurrency_dqn_train55_live1005,concurrency,dqn,1005,standard-operations,coverage,maximum,recorded,342
concurrency_ppo_train11_live1001,concurrency,ppo,1001,aggressive-incident,freshness_age_seconds,maximum,recorded,3
concurrency_ppo_train11_live1001,concurrency,ppo,1001,lax-background,coverage,maximum,recorded,667
concurrency_ppo_train11_live1001,concurrency,ppo,1001,short-burst,coverage,maximum,recorded,315
concurrency_ppo_train11_live1001,concurrency,ppo,1001,short-burst,freshness_age_seconds,maximum,recorded,1
concurrency_ppo_train11_live1001,concurrency,ppo,1001,standard-operations,coverage,maximum,recorded,640
concurrency_ppo_train22_live1002,concurrency,ppo,1002,aggressive-incident,freshness_age_seconds,maximum,recorded,3
concurrency_ppo_train22_live1002,concurrency,ppo,1002,cost-sensitive,coverage,maximum,recorded,56
concurrency_ppo_train22_live1002,concurrency,ppo,1002,lax-background,coverage,maximum,recorded,673
concurrency_ppo_train22_live1002,concurrency,ppo,1002,short-burst,coverage,maximum,recorded,323
concurrency_ppo_train22_live1002,concurrency,ppo,1002,short-burst,freshness_age_seconds,maximum,recorded,1
concurrency_ppo_train33_live1003,concurrency,ppo,1003,cost-sensitive,coverage,maximum,recorded,324
concurrency_ppo_train33_live1003,concurrency,ppo,1003,lax-background,coverage,maximum,recorded,667
concurrency_ppo_train33_live1003,concurrency,ppo,1003,short-burst,coverage,maximum,recorded,317
concurrency_ppo_train33_live1003,concurrency,ppo,1003,standard-operations,coverage,maximum,recorded,348
concurrency_ppo_train44_live1004,concurrency,ppo,1004,aggressive-incident,freshness_age_seconds,maximum,recorded,3
concurrency_ppo_train44_live1004,concurrency,ppo,1004,cost-sensitive,coverage,maximum,recorded,324
concurrency_ppo_train44_live1004,concurrency,ppo,1004,lax-background,coverage,maximum,recorded,665
concurrency_ppo_train44_live1004,concurrency,ppo,1004,short-burst,coverage,maximum,recorded,315
concurrency_ppo_train55_live1005,concurrency,ppo,1005,cost-sensitive,coverage,maximum,recorded,40
concurrency_ppo_train55_live1005,concurrency,ppo,1005,lax-background,coverage,maximum,recorded,665
concurrency_ppo_train55_live1005,concurrency,ppo,1005,short-burst,coverage,maximum,recorded,77
concurrency_ppo_train55_live1005,concurrency,ppo,1005,short-burst,freshness_age_seconds,maximum,recorded,1
concurrency_static_train11_live1001,concurrency,static,1001,lax-background,coverage,maximum,recorded,667
concurrency_static_train11_live1001,concurrency,static,1001,short-burst,coverage,maximum,recorded,315
concurrency_static_train22_live1002,concurrency,static,1002,lax-background,coverage,maximum,recorded,673
concurrency_static_train22_live1002,concurrency,static,1002,short-burst,coverage,maximum,recorded,324
concurrency_static_train33_live1003,concurrency,static,1003,lax-background,coverage,maximum,recorded,667
concurrency_static_train33_live1003,concurrency,static,1003,short-burst,coverage,maximum,recorded,317
concurrency_static_train44_live1004,concurrency,static,1004,lax-background,coverage,maximum,recorded,665
concurrency_static_train44_live1004,concurrency,static,1004,short-burst,coverage,maximum,recorded,315
concurrency_static_train55_live1005,concurrency,static,1005,lax-background,coverage,maximum,recorded,665
concurrency_static_train55_live1005,concurrency,static,1005,short-burst,coverage,maximum,recorded,316
realistic_dqn_train11_live1001,realistic,dqn,1001,cost-sensitive,coverage,maximum,recorded,222
realistic_dqn_train11_live1001,realistic,dqn,1001,lax-background,coverage,maximum,recorded,314
realistic_dqn_train11_live1001,realistic,dqn,1001,short-burst,coverage,maximum,recorded,161
realistic_dqn_train11_live1001,realistic,dqn,1001,standard-operations,coverage,maximum,recorded,286
realistic_dqn_train22_live1002,realistic,dqn,1002,cost-sensitive,coverage,maximum,recorded,212
realistic_dqn_train22_live1002,realistic,dqn,1002,lax-background,coverage,maximum,recorded,288
realistic_dqn_train22_live1002,realistic,dqn,1002,short-burst,coverage,maximum,recorded,174
realistic_dqn_train22_live1002,realistic,dqn,1002,standard-operations,coverage,maximum,recorded,271
realistic_dqn_train33_live1003,realistic,dqn,1003,cost-sensitive,coverage,maximum,recorded,225
realistic_dqn_train33_live1003,realistic,dqn,1003,lax-background,coverage,maximum,recorded,318
realistic_dqn_train33_live1003,realistic,dqn,1003,short-burst,coverage,maximum,recorded,206
realistic_dqn_train44_live1004,realistic,dqn,1004,cost-sensitive,coverage,maximum,recorded,91
realistic_dqn_train44_live1004,realistic,dqn,1004,lax-background,coverage,maximum,recorded,300
realistic_dqn_train44_live1004,realistic,dqn,1004,short-burst,coverage,maximum,recorded,135
realistic_dqn_train44_live1004,realistic,dqn,1004,standard-operations,coverage,maximum,recorded,267
realistic_dqn_train55_live1005,realistic,dqn,1005,cost-sensitive,coverage,maximum,recorded,86
realistic_dqn_train55_live1005,realistic,dqn,1005,lax-background,coverage,maximum,recorded,292
realistic_dqn_train55_live1005,realistic,dqn,1005,short-burst,coverage,maximum,recorded,151
realistic_dqn_train55_live1005,realistic,dqn,1005,standard-operations,coverage,maximum,recorded,247
realistic_ppo_train11_live1001,realistic,ppo,1001,lax-background,coverage,maximum,recorded,314
realistic_ppo_train11_live1001,realistic,ppo,1001,short-burst,coverage,maximum,recorded,161
realistic_ppo_train11_live1001,realistic,ppo,1001,standard-operations,coverage,maximum,recorded,293
realistic_ppo_train22_live1002,realistic,ppo,1002,aggressive-incident,freshness_age_seconds,maximum,recorded,1
realistic_ppo_train22_live1002,realistic,ppo,1002,cost-sensitive,coverage,maximum,recorded,216
realistic_ppo_train22_live1002,realistic,ppo,1002,lax-background,coverage,maximum,recorded,288
realistic_ppo_train22_live1002,realistic,ppo,1002,short-burst,coverage,maximum,recorded,174
realistic_ppo_train33_live1003,realistic,ppo,1003,cost-sensitive,coverage,maximum,recorded,231
realistic_ppo_train33_live1003,realistic,ppo,1003,lax-background,coverage,maximum,recorded,318
realistic_ppo_train33_live1003,realistic,ppo,1003,short-burst,coverage,maximum,recorded,207
realistic_ppo_train33_live1003,realistic,ppo,1003,standard-operations,coverage,maximum,recorded,330
realistic_ppo_train44_live1004,realistic,ppo,1004,cost-sensitive,coverage,maximum,recorded,192
realistic_ppo_train44_live1004,realistic,ppo,1004,lax-background,coverage,maximum,recorded,300
realistic_ppo_train44_live1004,realistic,ppo,1004,short-burst,coverage,maximum,recorded,135
realistic_ppo_train55_live1005,realistic,ppo,1005,cost-sensitive,coverage,maximum,recorded,82
realistic_ppo_train55_live1005,realistic,ppo,1005,lax-background,coverage,maximum,recorded,292
realistic_ppo_train55_live1005,realistic,ppo,1005,short-burst,coverage,maximum,recorded,151
realistic_static_train11_live1001,realistic,static,1001,lax-background,coverage,maximum,recorded,314
realistic_static_train11_live1001,realistic,static,1001,short-burst,coverage,maximum,recorded,160
realistic_static_train22_live1002,realistic,static,1002,lax-background,coverage,maximum,recorded,287
realistic_static_train22_live1002,realistic,static,1002,short-burst,coverage,maximum,recorded,173
realistic_static_train33_live1003,realistic,static,1003,lax-background,coverage,maximum,recorded,317
realistic_static_train33_live1003,realistic,static,1003,short-burst,coverage,maximum,recorded,207
realistic_static_train44_live1004,realistic,static,1004,lax-background,coverage,maximum,recorded,300
realistic_static_train44_live1004,realistic,static,1004,short-burst,coverage,maximum,recorded,135
realistic_static_train55_live1005,realistic,static,1005,lax-background,coverage,maximum,recorded,292
realistic_static_train55_live1005,realistic,static,1005,short-burst,coverage,maximum,recorded,150
